time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-09-18 09:30:00-04:00,iTrader,68347c73454e4327bca632ef0ff13401,GOOG,sell,market,fill,1,gtc,0.0,1,stock,138.25,154.0,0.0
2023-10-26 09:30:00-04:00,iTrader,99c8dc56b8114d32aa43c19fab9d3f8a,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-26 09:30:00-04:00,iTrader,99c8dc56b8114d32aa43c19fab9d3f8a,GOOG,sell,market,fill,1,gtc,0.0,1,stock,124.02999877929688,206.0,0.0
2023-10-27 09:30:00-04:00,iTrader,24e943903f8b4abc9020c0d5c3fc1a68,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-27 09:30:00-04:00,iTrader,24e943903f8b4abc9020c0d5c3fc1a68,GOOG,sell,market,fill,1,gtc,0.0,1,stock,124.02999877929688,247.0,0.0
2023-11-02 09:30:00-04:00,iTrader,e3d61bb3578f4ea889c6f510b5c295f9,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,iTrader,189499671410407eab4fbfc116728fb4,GOOG,buy,stop,fill,1,day,0.0,1,stock,130.23149871826172,206.0,0.0
2023-11-02 09:30:00-04:00,iTrader,70524465d6ea4147a59293e57b827c6c,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,iTrader,7b78eabaf71347f1b01409d6170dc6fc,GOOG,buy,stop,fill,1,day,0.0,1,stock,130.23149871826172,247.0,0.0
2023-11-06 09:30:00-05:00,iTrader,2d41af67609f4aa2aa4194d256014149,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-06 09:30:00-05:00,iTrader,2d41af67609f4aa2aa4194d256014149,GOOG,sell,market,fill,1,gtc,0.0,1,stock,130.22000122070312,192.0,0.0
2023-11-10 09:30:00-05:00,iTrader,8f6931cc905d440a930736b8d30d6566,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,iTrader,a3eb1444125c4e75b5308b600338df90,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,iTrader,bdb1f748167a45c28d1f9582fd0f6f49,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,iTrader,2c021a18e81944f8b7ef0be5182897d0,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,iTrader,749df36f3c4848938815a4abde2446f4,GOOG,buy,market,new,1,day,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,iTrader,14ac4f80d54e443bb4b4ad27b54be2ce,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,iTrader,749df36f3c4848938815a4abde2446f4,GOOG,buy,market,fill,1,day,0.0,1,stock,131.52999877929688,346.0,0.0
2023-11-10 09:30:00-05:00,iTrader,14ac4f80d54e443bb4b4ad27b54be2ce,GOOG,buy,market,fill,1,gtc,0.0,1,stock,131.52999877929688,228.0,0.0
2023-12-19 09:30:00-05:00,iTrader,c45d6fbda66b48eab723e82e62f50f85,GOOG,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,iTrader,fa1686e17581475cbbd669ff661ed4dd,GOOG,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,iTrader,b7424319fc574431b3b1bb28922cb498,GOOG,sell,market,new,1,day,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,iTrader,49df61f76c7d4e70b44a08dae55632ab,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-19 09:30:00-05:00,iTrader,b7424319fc574431b3b1bb28922cb498,GOOG,sell,market,fill,1,day,0.0,1,stock,138.0,228.0,0.0
2023-12-19 09:30:00-05:00,iTrader,49df61f76c7d4e70b44a08dae55632ab,GOOG,sell,market,fill,1,gtc,0.0,1,stock,138.0,108.0,0.0
2024-01-10 09:30:00-05:00,iTrader,dff25caed77d4ec08d6c8ea7b0907f22,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-01-10 09:30:00-05:00,iTrader,d728bb6d044c4447b082f2dd2cc0acf3,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-10 09:30:00-05:00,iTrader,340660d306fb42c4ba3d9ef94c5b8e44,GOOG,buy,market,new,1,day,0.0,1,stock,,,
2024-01-10 09:30:00-05:00,iTrader,d02cbc6158b7436abb012601269ab1a5,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-10 09:30:00-05:00,iTrader,340660d306fb42c4ba3d9ef94c5b8e44,GOOG,buy,market,fill,1,day,0.0,1,stock,142.52000427246094,108.0,0.0
2024-01-10 09:30:00-05:00,iTrader,d02cbc6158b7436abb012601269ab1a5,GOOG,buy,market,fill,1,gtc,0.0,1,stock,142.52000427246094,169.0,0.0
2024-01-16 09:30:00-05:00,iTrader,daee15da5bf5491cba0c0ed494d6581a,GOOG,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,iTrader,1eb88001263b4e5988a77056feae6e5d,GOOG,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,iTrader,286f2738e66b4d74ae77619fd9cb62d8,GOOG,sell,market,new,1,day,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,iTrader,2dd6fdd55caf49c4ac4a888b8ceddf98,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,iTrader,286f2738e66b4d74ae77619fd9cb62d8,GOOG,sell,market,fill,1,day,0.0,1,stock,143.42999267578125,169.0,0.0
2024-01-16 09:30:00-05:00,iTrader,2dd6fdd55caf49c4ac4a888b8ceddf98,GOOG,sell,market,fill,1,gtc,0.0,1,stock,143.42999267578125,113.0,0.0
2024-01-24 09:30:00-05:00,iTrader,c51ab2380f254170bba32cae99b8babb,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-01-24 09:30:00-05:00,iTrader,61cfaff2df6941fda0ffebfc148f0719,GOOG,buy,stop,fill,1,day,0.0,1,stock,150.60149230957032,113.0,0.0
2024-01-30 09:30:00-05:00,iTrader,d27f8fd486594d4eb916d43f152a85d5,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-30 09:30:00-05:00,iTrader,d27f8fd486594d4eb916d43f152a85d5,GOOG,sell,market,fill,1,gtc,0.0,1,stock,154.00999450683594,136.0,0.0
2024-02-01 09:30:00-05:00,iTrader,be6abe7701ee49c3adaee54c15093f77,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2024-02-01 09:30:00-05:00,iTrader,be6abe7701ee49c3adaee54c15093f77,GOOG,sell,market,fill,1,gtc,0.0,1,stock,143.69000244140625,175.0,0.0
2024-02-16 09:30:00-05:00,iTrader,f35f166c095941d5a02a41ade30c9b85,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-02-16 09:30:00-05:00,iTrader,2199c01936cd4de387aa4d2204cf2d32,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-16 09:30:00-05:00,iTrader,2a050fea1fcf4efabe3c6f8c28c97648,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2024-02-16 09:30:00-05:00,iTrader,5ca777683b2548dabc5af684203b26fb,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-16 09:30:00-05:00,iTrader,c8c52f0bef984d51afaf9975bac15420,GOOG,buy,market,new,1,day,0.0,1,stock,,,
2024-02-16 09:30:00-05:00,iTrader,bfe1c62201fe43aa8268a8bdacb62e32,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
