time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-02 09:30:00-05:00,BuyHold,749175539a65477b90dbc39f0a9f3686,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-02 09:30:00-05:00,BuyHold,749175539a65477b90dbc39f0a9f3686,GOOG,buy,market,fill,1,gtc,0.0,1,stock,139.60000610351562,716.0,0.0
