datetime,portfolio_value,cash,positions,return
2023-02-06 09:30:00-05:00,96980.47907180786,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0
2023-02-07 09:30:00-05:00,96803.76412887573,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",-0.0018221702410985419
2023-02-08 09:30:00-05:00,96979.54315872192,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.001815828459027502
2023-02-09 09:30:00-05:00,97381.59344406128,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.004145722615761738
2023-02-10 09:30:00-05:00,98279.19401473999,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.00921735349498376
2023-02-11 09:30:00-05:00,98279.19401473999,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0
2023-02-11 09:29:00-05:00,98279.19401473999,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0
2023-02-13 08:30:00-05:00,98415.70321578979,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0013889939006757057
2023-02-13 09:30:00-05:00,98415.70321578979,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0
2023-02-13 09:30:00-05:00,98415.70321578979,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0
2023-02-14 09:30:00-05:00,98481.15293045044,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",0.0006650332469517739
2023-02-15 09:30:00-05:00,98466.19401473999,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",-0.00015189622852007645
2023-02-16 09:30:00-05:00,98316.59344406128,116182.57361526489,"[{'asset': USD, 'quantity': 116182.57361526489}, {'asset': GOOG, 'quantity': -187.0}]",-0.0015193089585275876
